房间价格信息汇总
==================================================
房间号	12M价格	6-11M价格	2-5M价格	1M价格
A2007	12670.86333686803	13684.532403817473	14191.366937292194	15838.579171085037
A2008	12670.86333686803	13684.532403817473	14191.366937292194	15838.579171085037
A2009	12670.86333686803	13684.532403817473	14191.366937292194	15838.579171085037
A201	13871.52	14981.241600000001	15536.102400000002	17339.4
A2010	14712.78	15889.802400000002	16478.3136	18390.975000000002
A2011	19000	20520	21280.000000000004	23750
A2012	15534.12	16776.8496	17398.2144	19417.65
A2013	15855.460000000001	17123.896800000002	17758.115200000004	19819.325
A2015	19093.260000000002	20620.720800000003	21384.451200000003	23866.575000000004
A2016	12670.86333686803	13684.532403817473	14191.366937292194	15838.579171085037
A2017	12670.86333686803	13684.532403817473	14191.366937292194	15838.579171085037
A2018	12670.86333686803	13684.532403817473	14191.366937292194	15838.579171085037
A2019	14200	15336.000000000002	15904.000000000002	17750
A202	15605	16853.4	17477.600000000002	19506.25
A2020	15000	16200.000000000002	16800	18750
A2021	12670.86333686803	13684.532403817473	14191.366937292194	15838.579171085037
A2022	30318.24	32743.699200000003	33956.4288	37897.8
A2023	20500	22140	22960.000000000004	25625
A203	13871.52	14981.241600000001	15536.102400000002	17339.4
A205	13871.52	14981.241600000001	15536.102400000002	17339.4
A206	13871.52	14981.241600000001	15536.102400000002	17339.4
A207	13871.52	14981.241600000001	15536.102400000002	17339.4
A208	13871.52	14981.241600000001	15536.102400000002	17339.4
A209	13871.52	14981.241600000001	15536.102400000002	17339.4
A210	13871.52	14981.241600000001	15536.102400000002	17339.4
A2101	13387.070000000002	14458.035600000003	14993.518400000003	16733.8375
A2102	23100	24948	25872.000000000004	28875
A2103	12720.86333686803	13738.532403817473	14247.366937292194	15901.079171085037
A2105	12720.86333686803	13738.532403817473	14247.366937292194	15901.079171085037
A2106	12720.86333686803	13738.532403817473	14247.366937292194	15901.079171085037
A2107	12720.86333686803	13738.532403817473	14247.366937292194	15901.079171085037
A2108	12720.86333686803	13738.532403817473	14247.366937292194	15901.079171085037
A2109	12720.86333686803	13738.532403817473	14247.366937292194	15901.079171085037
A211	15700	16956	17584	19625
A2110	14762.78	15943.802400000002	16534.3136	18453.475000000002
